,Text,Created At,Positive Score,Negative Score,Neutral Score,Compound Score,Account
0,"For some, a sheriff's broad authority is a defense of liberty. Others worry that it allows them to act above the la… https://t.co/fBxV3b9dtd",Fri Dec 15 02:05:03 +0000 2017,0.238,0.111,0.651,0.3182,NY Times
1,"""How old would Ben be?""

""Eleven."" 

Ben Wheeler would be a sixth-grader now. https://t.co/YUlEMaGQbZ https://t.co/m1orGuCyCM",Fri Dec 15 01:55:12 +0000 2017,0.0,0.0,1.0,0.0,NY Times
2,"RT @nytpolitics: ""They're lying to you,"" an activist told Senator Susan Collins in an emotional plea for her to vote against the tax bill.…",Fri Dec 15 01:47:03 +0000 2017,0.059,0.126,0.815,-0.4215,NY Times
3,The best dance of 2017 https://t.co/afGnvFwqNH,Fri Dec 15 01:32:04 +0000 2017,0.457,0.0,0.543,0.6369,NY Times
4,The FCC voted to repeal Obama-era net neutrality rules. Here’s what you need to know. https://t.co/HDvU028tkI,Fri Dec 15 01:17:01 +0000 2017,0.0,0.0,1.0,0.0,NY Times
5,"In a blow to workers, the National Labor Relations Board reversed an Obama-era ruling that helped unions fight hote… https://t.co/HxO8b5fiMf",Fri Dec 15 01:02:06 +0000 2017,0.0,0.126,0.874,-0.3818,NY Times
6,"RT @jennyschuessler: 'Youthquake’ Is Oxford’s Word of the Year. Sorry, Broflake. https://t.co/v0vjGrF7A8",Fri Dec 15 00:47:02 +0000 2017,0.0,0.106,0.894,-0.0772,NY Times
7,The share of the world's income going to the top 1 percent has shrunk since the financial crisis. Here's why that m… https://t.co/mKSxGbtB2k,Fri Dec 15 00:32:04 +0000 2017,0.148,0.151,0.701,-0.2732,NY Times
8,"The Disney-Fox deal needs U.S. approval but has friends in high places, our columnist @JamesStewartNYT writes https://t.co/mJXzWeA0NF",Fri Dec 15 00:17:03 +0000 2017,0.292,0.0,0.708,0.7351,NY Times
9,Evening Briefing: Here's what you need to know at the end of the day https://t.co/0O1YWE1F4m,Fri Dec 15 00:02:04 +0000 2017,0.0,0.0,1.0,0.0,NY Times
10,"An Alabama sheriff's activities raise questions about the broad powers given to these officers, emboldened in the e… https://t.co/I9FYzUn5Zj",Thu Dec 14 23:45:05 +0000 2017,0.0,0.0,1.0,0.0,NY Times
11,"RT @nytopinion: We asked @nytopinion columnists to give each other reading recommendations. Here’s what @PaulKrugman, @MaureenDowd, @NickKr…",Thu Dec 14 23:36:37 +0000 2017,0.0,0.0,1.0,0.0,NY Times
12,"Doctors have found a new way to treat heart arrhythmias leading to sudden death, a leading killer in the U.S. https://t.co/PVGb673wQ6",Thu Dec 14 23:17:03 +0000 2017,0.1,0.305,0.595,-0.7579,NY Times
13,"From secret baby to warrior to general, how Princess Leia became one of the most iconic characters in ""Star Wars""… https://t.co/NzpcxXDivp",Thu Dec 14 23:01:47 +0000 2017,0.0,0.0,1.0,0.0,NY Times
14,These videos include graphic scenes of violence and have sparked outrage over police treatment of black people https://t.co/OnlhCw04E1,Thu Dec 14 22:45:15 +0000 2017,0.0,0.316,0.684,-0.8126,NY Times
15,There is no time to linger. That altitude is called the “death zone” for good reason. Climbing Everest is a formida… https://t.co/bO8kppERlg,Thu Dec 14 22:25:14 +0000 2017,0.12,0.091,0.788,0.1779,NY Times
16,"Serve it straight out of the oven, when it's at its puffiest https://t.co/9kF3bSEjj1",Thu Dec 14 22:15:05 +0000 2017,0.137,0.0,0.863,0.2263,NY Times
17,RT @nytvideo: Here’s how net neutrality works: https://t.co/leS8Rzr8GV https://t.co/vhRe9W9AnP,Thu Dec 14 22:01:05 +0000 2017,0.0,0.0,1.0,0.0,NY Times
18,"Opinion: ""In his first 10 months in office, Donald J. Trump has told 103 separate untruths, many of them repeatedly… https://t.co/ERRGdTc1YQ",Thu Dec 14 21:52:40 +0000 2017,0.0,0.0,1.0,0.0,NY Times
19,"Don’t overlook Ireland’s second city, which is well worth a full weekend of its own https://t.co/FHYw88vw1b",Thu Dec 14 21:45:12 +0000 2017,0.235,0.0,0.765,0.4588,NY Times
20,"For some, a sheriff's broad authority is a defense of liberty. Others worry that it allows them to act above the la… https://t.co/fBxV3b9dtd",Fri Dec 15 02:05:03 +0000 2017,0.238,0.111,0.651,0.3182,NY Times
21,"""How old would Ben be?""

""Eleven."" 

Ben Wheeler would be a sixth-grader now. https://t.co/YUlEMaGQbZ https://t.co/m1orGuCyCM",Fri Dec 15 01:55:12 +0000 2017,0.0,0.0,1.0,0.0,NY Times
22,"RT @nytpolitics: ""They're lying to you,"" an activist told Senator Susan Collins in an emotional plea for her to vote against the tax bill.…",Fri Dec 15 01:47:03 +0000 2017,0.059,0.126,0.815,-0.4215,NY Times
23,The best dance of 2017 https://t.co/afGnvFwqNH,Fri Dec 15 01:32:04 +0000 2017,0.457,0.0,0.543,0.6369,NY Times
24,The FCC voted to repeal Obama-era net neutrality rules. Here’s what you need to know. https://t.co/HDvU028tkI,Fri Dec 15 01:17:01 +0000 2017,0.0,0.0,1.0,0.0,NY Times
25,"In a blow to workers, the National Labor Relations Board reversed an Obama-era ruling that helped unions fight hote… https://t.co/HxO8b5fiMf",Fri Dec 15 01:02:06 +0000 2017,0.0,0.126,0.874,-0.3818,NY Times
26,"RT @jennyschuessler: 'Youthquake’ Is Oxford’s Word of the Year. Sorry, Broflake. https://t.co/v0vjGrF7A8",Fri Dec 15 00:47:02 +0000 2017,0.0,0.106,0.894,-0.0772,NY Times
27,The share of the world's income going to the top 1 percent has shrunk since the financial crisis. Here's why that m… https://t.co/mKSxGbtB2k,Fri Dec 15 00:32:04 +0000 2017,0.148,0.151,0.701,-0.2732,NY Times
28,"The Disney-Fox deal needs U.S. approval but has friends in high places, our columnist @JamesStewartNYT writes https://t.co/mJXzWeA0NF",Fri Dec 15 00:17:03 +0000 2017,0.292,0.0,0.708,0.7351,NY Times
29,Evening Briefing: Here's what you need to know at the end of the day https://t.co/0O1YWE1F4m,Fri Dec 15 00:02:04 +0000 2017,0.0,0.0,1.0,0.0,NY Times
30,"An Alabama sheriff's activities raise questions about the broad powers given to these officers, emboldened in the e… https://t.co/I9FYzUn5Zj",Thu Dec 14 23:45:05 +0000 2017,0.0,0.0,1.0,0.0,NY Times
31,"RT @nytopinion: We asked @nytopinion columnists to give each other reading recommendations. Here’s what @PaulKrugman, @MaureenDowd, @NickKr…",Thu Dec 14 23:36:37 +0000 2017,0.0,0.0,1.0,0.0,NY Times
32,"Doctors have found a new way to treat heart arrhythmias leading to sudden death, a leading killer in the U.S. https://t.co/PVGb673wQ6",Thu Dec 14 23:17:03 +0000 2017,0.1,0.305,0.595,-0.7579,NY Times
33,"From secret baby to warrior to general, how Princess Leia became one of the most iconic characters in ""Star Wars""… https://t.co/NzpcxXDivp",Thu Dec 14 23:01:47 +0000 2017,0.0,0.0,1.0,0.0,NY Times
34,These videos include graphic scenes of violence and have sparked outrage over police treatment of black people https://t.co/OnlhCw04E1,Thu Dec 14 22:45:15 +0000 2017,0.0,0.316,0.684,-0.8126,NY Times
35,There is no time to linger. That altitude is called the “death zone” for good reason. Climbing Everest is a formida… https://t.co/bO8kppERlg,Thu Dec 14 22:25:14 +0000 2017,0.12,0.091,0.788,0.1779,NY Times
36,"Serve it straight out of the oven, when it's at its puffiest https://t.co/9kF3bSEjj1",Thu Dec 14 22:15:05 +0000 2017,0.137,0.0,0.863,0.2263,NY Times
37,RT @nytvideo: Here’s how net neutrality works: https://t.co/leS8Rzr8GV https://t.co/vhRe9W9AnP,Thu Dec 14 22:01:05 +0000 2017,0.0,0.0,1.0,0.0,NY Times
38,"Opinion: ""In his first 10 months in office, Donald J. Trump has told 103 separate untruths, many of them repeatedly… https://t.co/ERRGdTc1YQ",Thu Dec 14 21:52:40 +0000 2017,0.0,0.0,1.0,0.0,NY Times
39,"Don’t overlook Ireland’s second city, which is well worth a full weekend of its own https://t.co/FHYw88vw1b",Thu Dec 14 21:45:12 +0000 2017,0.235,0.0,0.765,0.4588,NY Times
40,A quick refresher on what happened in the last “Star Wars” movie before you go see the next one… https://t.co/btuHpYBLY0,Thu Dec 14 21:30:10 +0000 2017,0.0,0.0,1.0,0.0,NY Times
41,"Kit Harrington is doing things other than being a sad, pensive panda on Game of Thrones https://t.co/wiepeXqz2w",Thu Dec 14 21:15:10 +0000 2017,0.071,0.168,0.761,-0.4215,NY Times
42,The surprising result in Alabama gives Democrats a plausible path to take control of the Senate https://t.co/lb9JL3DkYo,Thu Dec 14 21:07:04 +0000 2017,0.123,0.0,0.877,0.2732,NY Times
43,"It would be fair to argue that the internet was, for the most part, a rancid stew of awful in 2017. But it wasn’t a… https://t.co/RgtJCTHHBr",Thu Dec 14 21:00:43 +0000 2017,0.071,0.283,0.647,-0.7832,NY Times
44,"The size of wine glasses in Britain has increased nearly sevenfold over 300 years, a research team found https://t.co/ArYJb3ZxQz",Thu Dec 14 20:45:10 +0000 2017,0.11,0.0,0.89,0.2732,NY Times
45,"She's a Democrat who sees Trump's behavior as ""just nasty."" But she's counting on him to bolster Wyoming's economy. https://t.co/kyUxCB7Xvk",Thu Dec 14 20:30:30 +0000 2017,0.0,0.0,1.0,0.0,NY Times
46,"Through his dizzying lens, he became a celebrity for his high-altitude stunts. But then, suddenly, his online posts… https://t.co/gfegpRqWI9",Thu Dec 14 20:15:09 +0000 2017,0.0,0.0,1.0,0.0,NY Times
47,RT @dougmillsnyt: .@realDonaldTrump stands next to a stack of papers after announcing “We will get rid of the redundancy and duplication th…,Thu Dec 14 20:12:26 +0000 2017,0.0,0.0,1.0,0.0,NY Times
48,Thousands of the Interior Department’s employees reported that they had experienced harassment or intimidation at w… https://t.co/dPGzxt6OVa,Thu Dec 14 20:00:20 +0000 2017,0.0,0.296,0.704,-0.743,NY Times
49,The best dance of 2017 https://t.co/OLWuedRBFA,Thu Dec 14 19:50:11 +0000 2017,0.457,0.0,0.543,0.6369,NY Times
50,She strikes a small but noticeable figure in her red coat and beret bearing lights and the words “Let’s Get Lit”… https://t.co/RbGdy4SSqq,Thu Dec 14 19:40:15 +0000 2017,0.0,0.08,0.92,-0.1901,NY Times
51,"The $150,000 was earmarked to feed inmates. Instead, this sheriff used it to invest in a get-rich-quick scheme. https://t.co/VaqngdpSyU",Thu Dec 14 19:30:06 +0000 2017,0.0,0.0,1.0,0.0,NY Times
52,"From “Game of Thrones” to “This Is Us,” The Times’s TV critics each pick some of their favorite hours and half-hours https://t.co/h1Dw6Fy64a",Thu Dec 14 19:22:05 +0000 2017,0.119,0.087,0.794,0.2023,NY Times
53,"Extreme weather left its mark across the planet in 2016, the hottest year in recorded history https://t.co/1NNVXNvhq3",Thu Dec 14 19:15:11 +0000 2017,0.0,0.0,1.0,0.0,NY Times
54,"Read our spoiler-free guide to all things ""Star Wars: The Last Jedi."" Or don't. We're not your father. https://t.co/TJqo3ARbTa",Thu Dec 14 19:08:05 +0000 2017,0.0,0.167,0.833,-0.5574,NY Times
55,Visit the New York City that could have been in this mixed reality 360 video https://t.co/oyixpyl2To #Daily360,Thu Dec 14 19:00:33 +0000 2017,0.0,0.0,1.0,0.0,NY Times
56,How the net neutrality repeal could affect you https://t.co/FlkicMzUip https://t.co/awJQPRFCk1,Thu Dec 14 18:51:27 +0000 2017,0.0,0.0,1.0,0.0,NY Times
57,Casualties from land mines and improvised explosives increased to the highest level since a treaty banning such wea… https://t.co/KhuVO8FIcr,Thu Dec 14 18:45:19 +0000 2017,0.11,0.0,0.89,0.2732,NY Times
58,"""The internet doesn’t have to be a corporate playground. That’s just the path we’ve chosen."" https://t.co/PAO6fiPs81",Thu Dec 14 18:41:31 +0000 2017,0.0,0.0,1.0,0.0,NY Times
59,"The filmmaker Morgan Spurlock, known for ""Super Size Me"" and other films, revealed his own episodes of sexual misco… https://t.co/tF36o1m96C",Thu Dec 14 18:35:06 +0000 2017,0.17,0.0,0.83,0.5994,NY Times
60,"The federal government will also no longer regulate high-speed internet delivery as if it were a utility, like phone services",Thu Dec 14 18:22:03 +0000 2017,0.115,0.101,0.783,0.0772,NY Times
61,"Breaking News: The FCC has scrapped net neutrality rules. Internet providers will have more power over the web, all… https://t.co/ouePJKop6V",Thu Dec 14 18:17:03 +0000 2017,0.0,0.0,1.0,0.0,NY Times
62,"No matter how rich in love they may be, most Haitians can’t pay for a funeral. The members of this burial team help… https://t.co/PCgYLUbgUP",Thu Dec 14 18:15:15 +0000 2017,0.276,0.197,0.527,0.5478,NY Times
63,"Orchestral horns blare! “Star Wars.” Opening crawl. But wait, what happened in “The Force Awakens” again?… https://t.co/giVhZf8opi",Thu Dec 14 18:00:29 +0000 2017,0.0,0.0,1.0,0.0,NY Times
64,"As Republicans prepared to roll out the $1.5 trillion tax plan, uncertainty loomed over how to pay for last-minute… https://t.co/tMpM4mPiD4",Thu Dec 14 17:51:04 +0000 2017,0.08,0.248,0.672,-0.4588,NY Times
65,"""We work really hard to be resilient and strong. And I think it’s O.K. to recognize that we’re still grieving, and… https://t.co/PItWwJNlKf",Thu Dec 14 17:45:13 +0000 2017,0.126,0.19,0.685,-0.1761,NY Times
66,The executive did not know that the woman he was speaking to was one of several who had accused Masterson of rape https://t.co/PWTuiDTdTf,Thu Dec 14 17:30:20 +0000 2017,0.0,0.247,0.753,-0.7845,NY Times
67,"Opinion: ""We don’t know what exactly Omarosa did at the White House, but we do know the No. 1 skill she brought to… https://t.co/85Sq8gSxk4",Thu Dec 14 17:25:17 +0000 2017,0.0,0.113,0.887,-0.4215,NY Times
68,The season finale of “Mr. Robot” was thick with reveals and reconciliations https://t.co/WW3vx9RFOF,Thu Dec 14 17:15:12 +0000 2017,0.0,0.0,1.0,0.0,NY Times
69,"""There's no state in America where black people recognize the horrors of turning back the clock more than the State… https://t.co/CBNVd07Ww0",Thu Dec 14 17:00:30 +0000 2017,0.0,0.237,0.763,-0.7096,NY Times
70,RT @fmanjoo: Nevertheless she persisted https://t.co/kyql9Py8lc,Thu Dec 14 16:52:03 +0000 2017,0.0,0.0,1.0,0.0,NY Times
71,"For a while, Rupert Murdoch seemed invincible. Now the buyer has become a seller. https://t.co/M3uLGlVYG2",Thu Dec 14 16:45:10 +0000 2017,0.211,0.0,0.789,0.4939,NY Times
72,"The Texas Republican settled a lurid sexual harassment claim with $84,000 of taxpayer money. https://t.co/R0Pm9L9run",Thu Dec 14 16:39:57 +0000 2017,0.0,0.212,0.788,-0.5423,NY Times
73,"RT @kerrimac: “They spent their lives in misery, they died in misery.” Our latest Instagram Story on https://t.co/SKJsd8KAHk is a condensed…",Thu Dec 14 16:37:08 +0000 2017,0.0,0.289,0.711,-0.8074,NY Times
74,"Best known for heading the team that produced The Times’s “innovation report” in 2014, A. G. Sulzberger will be the… https://t.co/mMjKI1B00T",Thu Dec 14 16:33:16 +0000 2017,0.174,0.0,0.826,0.6369,NY Times
75,"Breaking News: A.G. Sulzberger, 37, will succeed his father as New York Times publisher, the company’s top job. He… https://t.co/oWaQpmv2WE",Thu Dec 14 16:27:56 +0000 2017,0.217,0.0,0.783,0.6124,NY Times
76,"RT @nytgraphics: Here's what we know about the final tax bill, and how it would affect families, homeowners, businesses and more. https://t…",Thu Dec 14 16:22:14 +0000 2017,0.0,0.0,1.0,0.0,NY Times
77,"RT @nytmedia: “This Is Us,” “Homeland,” “Star Wars”: This is what Disney is getting from its takeover of Fox https://t.co/jAKRec6Bh7",Thu Dec 14 16:15:12 +0000 2017,0.0,0.0,1.0,0.0,NY Times
78,"RT @arappeport: Promises, promises? Activists tell Susan Collins she's being duped on tax deals. ""They're lying to you!""  https://t.co/VXdd…",Thu Dec 14 16:09:08 +0000 2017,0.195,0.243,0.562,-0.3164,NY Times
79,~* iT's ThE eNd Of An ErA *~ https://t.co/OzBNAPkhIn,Thu Dec 14 16:00:31 +0000 2017,0.0,0.0,1.0,0.0,NY Times
80,"RT @nytopinion: Lindy West writes: ""It is with 100 percent professional certainty that I must inform you our president, Donald Trump, is a…",Thu Dec 14 15:50:10 +0000 2017,0.087,0.0,0.913,0.25,NY Times
81,The sight of evangelical voters in Alabama giving their support to Roy Moore has deeply troubled many conservative… https://t.co/EBLjk0jkEi,Thu Dec 14 15:40:17 +0000 2017,0.209,0.135,0.656,0.204,NY Times
82,"RT @DLeonhardt: After we published a list of Trump's lies this summer, some of his supporters asked us to compare Trump to other presidents…",Thu Dec 14 15:30:19 +0000 2017,0.109,0.105,0.787,0.0258,NY Times
83,"The leader of the FCC has dismissed criticism that by pushing the net neutrality repeal, he was doing the bidding o… https://t.co/EoDq9oGGFj",Thu Dec 14 15:25:06 +0000 2017,0.0,0.121,0.879,-0.4404,NY Times
84,Almost 600 readers wrote to us about what Jerusalem means to them. Here are some of the most evocative responses: https://t.co/LRplXaPG8q,Thu Dec 14 15:23:00 +0000 2017,0.0,0.0,1.0,0.0,NY Times
85,"""Their bravery changed the world,"" Samantha Bee said of the women who came forward against Roy Moore. Late-night ro… https://t.co/yTjUpDiViD",Thu Dec 14 15:20:15 +0000 2017,0.144,0.0,0.856,0.4939,NY Times
86,"RT @amychozick: This is Rupert Murdoch’s King Lear moment, dividing up his spoils and throwing succession into question. https://t.co/ZgaxU…",Thu Dec 14 15:16:07 +0000 2017,0.091,0.0,0.909,0.2023,NY Times
87,"Police killed a 69-year-old Bronx man in his apartment. Now, questions have emerged and the family is asking why de… https://t.co/MnyRo6v7C7",Thu Dec 14 15:10:11 +0000 2017,0.0,0.191,0.809,-0.6705,NY Times
88,Morning Briefing: Here's what you need to know to start your day https://t.co/fyCmqmKRrf https://t.co/e17PJ6oOic,Thu Dec 14 15:00:41 +0000 2017,0.0,0.0,1.0,0.0,NY Times
89,Opinion: Net neutrality is called the First Amendment of the internet for a good reason https://t.co/Y6YGl88HyS,Thu Dec 14 14:50:04 +0000 2017,0.172,0.0,0.828,0.4404,NY Times
90,What Disney is getting from Fox https://t.co/bYwG6fINi8,Thu Dec 14 14:39:04 +0000 2017,0.0,0.0,1.0,0.0,NY Times
91,"RT @NYTArchives: Gunman massacres 20 children at Sandy Hook Elementary School, 5 years ago today. https://t.co/zWeSMzLY2e https://t.co/HpcI…",Thu Dec 14 14:31:54 +0000 2017,0.0,0.0,1.0,0.0,NY Times
92,"""How old would Ben be?""

""Eleven."" Ben Wheeler would be a sixth-grader now. https://t.co/DvVcuVXgxA",Thu Dec 14 14:29:14 +0000 2017,0.0,0.0,1.0,0.0,NY Times
93,The biggest tech failures and successes of 2017 https://t.co/Bb00Y76W5T,Thu Dec 14 14:20:05 +0000 2017,0.265,0.221,0.515,0.1531,NY Times
94,Opinion: The politics of #HimToo https://t.co/6Kan9DNd5g,Thu Dec 14 14:11:04 +0000 2017,0.0,0.0,1.0,0.0,NY Times
95,Leaders and officials of Muslim nations declared East Jerusalem the Palestinian capital https://t.co/DjADxm5FxM,Thu Dec 14 14:00:11 +0000 2017,0.0,0.0,1.0,0.0,NY Times
96,"""There's no state in America where black people recognize the horrors of turning back the clock more than the State… https://t.co/6ci732RLfH",Thu Dec 14 13:48:05 +0000 2017,0.0,0.237,0.763,-0.7096,NY Times
97,What Republicans think about climate change — in maps https://t.co/OJSoujBTRE,Thu Dec 14 13:40:10 +0000 2017,0.0,0.0,1.0,0.0,NY Times
98,"How the tide turned against Roy Moore in Alabama
https://t.co/BpF1AIhPlG",Thu Dec 14 13:30:14 +0000 2017,0.0,0.0,1.0,0.0,NY Times
99,"Bermuda banned same-sex marriage, just months after a court legalized it https://t.co/Br1HGDkqbz",Thu Dec 14 13:20:06 +0000 2017,0.0,0.231,0.769,-0.4588,NY Times
100,"On the anniversary of the Sandy Hook mass shooting, divisions over guns in America run deeper than policy differenc… https://t.co/PFojtY3TbG",Fri Dec 15 02:01:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
101,"""I do think stronger regulations put in place can make a difference."" Alicia, a conservative, shares the story of w… https://t.co/TBUUbIcsUl",Fri Dec 15 01:57:45 +0000 2017,0.22,0.0,0.78,0.5859,CBS News
102,"Reporter: What [gun] regulations are in place now you would like to see go away? 

Cathy: Trying to repeal them rea… https://t.co/sA55L8tuSK",Fri Dec 15 01:51:40 +0000 2017,0.106,0.0,0.894,0.3612,CBS News
103,"""This is a social movement, it's going to take a long time before we change the laws we need to. But we are getting… https://t.co/GKm6hCnDbF",Fri Dec 15 01:47:30 +0000 2017,0.0,0.0,1.0,0.0,CBS News
104,"Reporter: Did [Sandy Hook] shooting change your mind about any of these issues? 

Lana: The first thing that came t… https://t.co/IuwaJYURCD",Fri Dec 15 01:42:49 +0000 2017,0.0,0.0,1.0,0.0,CBS News
105,"""For a school, that is probably the No. 1 topic right now, is to arm our staff and teachers,"" Lana, an NRA instruct… https://t.co/YxhjouzPOB",Fri Dec 15 01:41:19 +0000 2017,0.0,0.095,0.905,-0.296,CBS News
106,"""I think that word control is the wrong word to use. When you start talking about controlling that and taking that… https://t.co/f9LvsiE6HM",Fri Dec 15 01:37:35 +0000 2017,0.0,0.129,0.871,-0.4767,CBS News
107,Reporter: Do you think lawmakers have done enough and have done anything realistic after Sandy hook and Vegas... an… https://t.co/ETOSzASPh7,Fri Dec 15 01:29:10 +0000 2017,0.0,0.0,1.0,0.0,CBS News
108,The president's idea of combating mass shooters by arming more people is actually supported by almost 30 percent of… https://t.co/ijtZu5sOrd,Fri Dec 15 01:23:31 +0000 2017,0.108,0.0,0.892,0.3182,CBS News
109,Reporter: Why is this issue of [gun control] so hard to address? You have different opinions about guns but you're… https://t.co/OyidJ0d2NU,Fri Dec 15 01:22:26 +0000 2017,0.0,0.067,0.933,-0.1111,CBS News
110,"This week is the five-year anniversary of Sandy Hook. Do you remember where you were? Jessica and Daniel, both pare… https://t.co/T8Kz5EquY3",Fri Dec 15 01:18:27 +0000 2017,0.0,0.0,1.0,0.0,CBS News
111,"""If we were to train people to have a mentality similar to being on an airplane, if someone comes into a room with… https://t.co/xUg77u1H8D",Fri Dec 15 01:14:00 +0000 2017,0.0,0.0,1.0,0.0,CBS News
112,"WATCH NOW: On the anniversary of the Sandy Hook massacre, CBSN examines the aftermath of one of the nation’s deadli… https://t.co/4Fm1qow67z",Fri Dec 15 01:00:02 +0000 2017,0.0,0.0,1.0,0.0,CBS News
113,"""They had their entire lives ahead of them -- birthdays, graduations, weddings, kids of their own."" 

Five years ag… https://t.co/6ynn3LXV0v",Fri Dec 15 00:46:00 +0000 2017,0.0,0.0,1.0,0.0,CBS News
114,Republicans say the hardest part is behind them now that they have crafted a compromise between the House and Senat… https://t.co/bWD6mlxL78,Fri Dec 15 00:30:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
115,"After Sandy Hook, two fathers touched by gun violence share special connection https://t.co/wfjpVcaudn https://t.co/Fn4hiPaV7j",Fri Dec 15 00:19:32 +0000 2017,0.229,0.304,0.467,-0.3818,CBS News
116,"@CBSNews In Newtown, Conn., today, 20 1st graders and 6 adults were shot to death at Sandy Hook Elementary School 5… https://t.co/Pjm8ik7O3q",Thu Dec 14 23:58:55 +0000 2017,0.0,0.163,0.837,-0.5994,CBS News
117,@CBSNews In recent weeks we've heard largely from women about the #MeToo movement. @alexwagner talks to men who are… https://t.co/og6O3Klxxi,Thu Dec 14 23:54:18 +0000 2017,0.0,0.0,1.0,0.0,CBS News
118,@CBSNews Russian President Vladimir Putin held a record-breaking four-hour and 20-minute news conference today. Dur… https://t.co/JIVDyJPHiM,Thu Dec 14 23:49:58 +0000 2017,0.0,0.0,1.0,0.0,CBS News
119,@CBSNews American's UN Ambassador Nikki Haley accused Iran today of violating Security Council resolutions by armin… https://t.co/Eg0okrVLgV,Thu Dec 14 23:46:29 +0000 2017,0.109,0.258,0.633,-0.5106,CBS News
120,"On the anniversary of the Sandy Hook mass shooting, divisions over guns in America run deeper than policy differenc… https://t.co/PFojtY3TbG",Fri Dec 15 02:01:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
121,"""I do think stronger regulations put in place can make a difference."" Alicia, a conservative, shares the story of w… https://t.co/TBUUbIcsUl",Fri Dec 15 01:57:45 +0000 2017,0.22,0.0,0.78,0.5859,CBS News
