,Text,Created At,Positive Score,Negative Score,Neutral Score,Compound Score,Account
122,"Reporter: What [gun] regulations are in place now you would like to see go away? 

Cathy: Trying to repeal them rea… https://t.co/sA55L8tuSK",Fri Dec 15 01:51:40 +0000 2017,0.106,0.0,0.894,0.3612,CBS News
123,"""This is a social movement, it's going to take a long time before we change the laws we need to. But we are getting… https://t.co/GKm6hCnDbF",Fri Dec 15 01:47:30 +0000 2017,0.0,0.0,1.0,0.0,CBS News
124,"Reporter: Did [Sandy Hook] shooting change your mind about any of these issues? 

Lana: The first thing that came t… https://t.co/IuwaJYURCD",Fri Dec 15 01:42:49 +0000 2017,0.0,0.0,1.0,0.0,CBS News
125,"""For a school, that is probably the No. 1 topic right now, is to arm our staff and teachers,"" Lana, an NRA instruct… https://t.co/YxhjouzPOB",Fri Dec 15 01:41:19 +0000 2017,0.0,0.095,0.905,-0.296,CBS News
126,"""I think that word control is the wrong word to use. When you start talking about controlling that and taking that… https://t.co/f9LvsiE6HM",Fri Dec 15 01:37:35 +0000 2017,0.0,0.129,0.871,-0.4767,CBS News
127,Reporter: Do you think lawmakers have done enough and have done anything realistic after Sandy hook and Vegas... an… https://t.co/ETOSzASPh7,Fri Dec 15 01:29:10 +0000 2017,0.0,0.0,1.0,0.0,CBS News
128,The president's idea of combating mass shooters by arming more people is actually supported by almost 30 percent of… https://t.co/ijtZu5sOrd,Fri Dec 15 01:23:31 +0000 2017,0.108,0.0,0.892,0.3182,CBS News
129,Reporter: Why is this issue of [gun control] so hard to address? You have different opinions about guns but you're… https://t.co/OyidJ0d2NU,Fri Dec 15 01:22:26 +0000 2017,0.0,0.067,0.933,-0.1111,CBS News
130,"This week is the five-year anniversary of Sandy Hook. Do you remember where you were? Jessica and Daniel, both pare… https://t.co/T8Kz5EquY3",Fri Dec 15 01:18:27 +0000 2017,0.0,0.0,1.0,0.0,CBS News
131,"""If we were to train people to have a mentality similar to being on an airplane, if someone comes into a room with… https://t.co/xUg77u1H8D",Fri Dec 15 01:14:00 +0000 2017,0.0,0.0,1.0,0.0,CBS News
132,"WATCH NOW: On the anniversary of the Sandy Hook massacre, CBSN examines the aftermath of one of the nation’s deadli… https://t.co/4Fm1qow67z",Fri Dec 15 01:00:02 +0000 2017,0.0,0.0,1.0,0.0,CBS News
133,"""They had their entire lives ahead of them -- birthdays, graduations, weddings, kids of their own."" 

Five years ag… https://t.co/6ynn3LXV0v",Fri Dec 15 00:46:00 +0000 2017,0.0,0.0,1.0,0.0,CBS News
134,Republicans say the hardest part is behind them now that they have crafted a compromise between the House and Senat… https://t.co/bWD6mlxL78,Fri Dec 15 00:30:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
135,"After Sandy Hook, two fathers touched by gun violence share special connection https://t.co/wfjpVcaudn https://t.co/Fn4hiPaV7j",Fri Dec 15 00:19:32 +0000 2017,0.229,0.304,0.467,-0.3818,CBS News
136,"@CBSNews In Newtown, Conn., today, 20 1st graders and 6 adults were shot to death at Sandy Hook Elementary School 5… https://t.co/Pjm8ik7O3q",Thu Dec 14 23:58:55 +0000 2017,0.0,0.163,0.837,-0.5994,CBS News
137,@CBSNews In recent weeks we've heard largely from women about the #MeToo movement. @alexwagner talks to men who are… https://t.co/og6O3Klxxi,Thu Dec 14 23:54:18 +0000 2017,0.0,0.0,1.0,0.0,CBS News
138,@CBSNews Russian President Vladimir Putin held a record-breaking four-hour and 20-minute news conference today. Dur… https://t.co/JIVDyJPHiM,Thu Dec 14 23:49:58 +0000 2017,0.0,0.0,1.0,0.0,CBS News
139,@CBSNews American's UN Ambassador Nikki Haley accused Iran today of violating Security Council resolutions by armin… https://t.co/Eg0okrVLgV,Thu Dec 14 23:46:29 +0000 2017,0.109,0.258,0.633,-0.5106,CBS News
140,@CBSNews The FCC voted to roll back Obama-era regulations on the companies that provide internet service. The commi… https://t.co/IWt3PvdOkR,Thu Dec 14 23:44:04 +0000 2017,0.0,0.0,1.0,0.0,CBS News
141,"@CBSNews @nancycordes on Senator McCain's hospitalization at Walter Reed Medical Center: ""There are a lot of aides… https://t.co/tP3cqCNUDF",Thu Dec 14 23:39:29 +0000 2017,0.0,0.0,1.0,0.0,CBS News
142,"House and Senate leaders reached an agreement on a tax reform deal that will likely be voted on next week, but toda… https://t.co/I7GKsW0BWA",Thu Dec 14 23:34:01 +0000 2017,0.142,0.0,0.858,0.3182,CBS News
143,"Meghan Markle will be joining Britain's royal family for Christmas, which is reportedly a first for a royal fiancée… https://t.co/9XNTsx7gng",Thu Dec 14 23:15:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
144,Firefighter died while working a colossal wildfire burning in coastal mountains northwest of Los Angeles that has b… https://t.co/BRwZWe1z1t,Thu Dec 14 23:00:03 +0000 2017,0.0,0.175,0.825,-0.5574,CBS News
145,JUST IN: CBS News has learned that the NYPD has opened a preliminary investigation into accusations of sexual misco… https://t.co/ifGbX97smy,Thu Dec 14 22:50:01 +0000 2017,0.0,0.113,0.887,-0.3182,CBS News
146,"Iowa jury has found a woman guilty of starving her 16-year-old daughter to death, reports CBS affiliate KCCI. The t… https://t.co/Xx1UUw0lBa",Thu Dec 14 22:45:01 +0000 2017,0.0,0.358,0.642,-0.8591,CBS News
147,"Mimi O'Donnell, partner of Philip Seymour Hoffman for 15 years and mother of his three children, opened up about he… https://t.co/zZrYH2Kz5c",Thu Dec 14 22:33:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
148,Prosecutors have charged two men in the 2015 fatal shooting of New York City rapper Chinx https://t.co/TxCncEHiAT https://t.co/7k1leJQ8wH,Thu Dec 14 22:15:01 +0000 2017,0.0,0.249,0.751,-0.6486,CBS News
149,"Police in Southern California raided a weed ""fortress,"" seizing 35,000 marijuana plants and shutting down an operat… https://t.co/dK0uVgBYEI",Thu Dec 14 22:00:02 +0000 2017,0.0,0.0,1.0,0.0,CBS News
150,"While fewer American teens are lighting up cigarettes, more of them are vaping instead, a new report shows… https://t.co/jYhD7zrZZw",Thu Dec 14 21:40:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
151,"""As we come to the end of this difficult year...nothing can remove the memory of that night"": Six months after deva… https://t.co/lvglwwv0za",Thu Dec 14 21:20:51 +0000 2017,0.0,0.12,0.88,-0.4357,CBS News
152,"Scientists using advanced ""neural network"" machine-learning software to sift through thousands of weak, previously… https://t.co/SqVplIxU2i",Thu Dec 14 21:05:01 +0000 2017,0.112,0.162,0.726,-0.2263,CBS News
153,"In the wake of Sandy Hook, people across the U.S. echoed the words: “Never again.” But in the 5 years since, mass s… https://t.co/JZdKJlZ9dW",Thu Dec 14 20:50:31 +0000 2017,0.0,0.0,1.0,0.0,CBS News
154,"The FCC's two Republican commissioners, joined by FCC Chairman Ajit Pai, voted to eliminate the ""net neutrality"" ru… https://t.co/z4sCwwpBZm",Thu Dec 14 20:45:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
155,Rumors swirled in Washington D.C. on Thursday that Speaker of the House Paul Ryan was planning on retiring after th… https://t.co/MUNpawv1OW,Thu Dec 14 20:30:32 +0000 2017,0.0,0.0,1.0,0.0,CBS News
156,"American warplanes intercepted two Russian fighter jets that flew into coalition airspace in Syria, the Pentagon sa… https://t.co/FYA9ATsqdx",Thu Dec 14 20:15:01 +0000 2017,0.086,0.0,0.914,0.1531,CBS News
157,House Speaker Paul Ryan says he's not leaving Congress anytime soon after reports surface speculating he may leave… https://t.co/2ArzPef0CN,Thu Dec 14 20:00:02 +0000 2017,0.0,0.0,1.0,0.0,CBS News
158,"Pres. Trump symbolically cuts red tape at White House event, wants government to get rid of ""unecessary regulation.… https://t.co/kQDOrs6s3b",Thu Dec 14 19:54:13 +0000 2017,0.0,0.109,0.891,-0.296,CBS News
159,"""I like Omarosa."" President Trump says while answering a reporter's question on former WH official Omarosa Manigaul… https://t.co/g7m10qQY0I",Thu Dec 14 19:48:35 +0000 2017,0.135,0.0,0.865,0.3612,CBS News
160,"White House staff show flow chart illustrating regulatory actions, which the president says ""really explains the di… https://t.co/vWYm4gOTbO",Thu Dec 14 19:48:15 +0000 2017,0.0,0.0,1.0,0.0,CBS News
161,"Trump: We blew the target out of the water within our first 11 months. We have canceled or delayed over 1,500 and -… https://t.co/4MpGaWrt5T",Thu Dec 14 19:41:44 +0000 2017,0.0,0.076,0.924,-0.2263,CBS News
162,"""We are lifting restrictions on American energy and we have ended the war on coal,"" Pres. Trump says.… https://t.co/RLZoFCmA3k",Thu Dec 14 19:37:51 +0000 2017,0.091,0.17,0.739,-0.4215,CBS News
163,WATCH NOW: Pres. Trump gives remarks on deregulation efforts https://t.co/K7bL2Wtf7M https://t.co/ZXIRpQbdsy,Thu Dec 14 19:34:36 +0000 2017,0.0,0.0,1.0,0.0,CBS News
164,".@PressSec on preventing U.S. attacks: “If you could name a single thing that would have prevented both of these, I… https://t.co/SkmZfgYDLl",Thu Dec 14 19:27:09 +0000 2017,0.05,0.181,0.769,-0.4404,CBS News
165,".@PressSec on preventing mass shootings: ""Whether or not there is a regulation that could be put in place that coul… https://t.co/CN0HztVqRK",Thu Dec 14 19:22:42 +0000 2017,0.0,0.055,0.945,-0.0258,CBS News
166,".@PressSec on #NetNeutrality decision: ""The Trump administration supports the FCC's effort to roll back burdensome… https://t.co/vJR3qNzOA1",Thu Dec 14 19:16:25 +0000 2017,0.143,0.0,0.857,0.3612,CBS News
167,".@PressSec on Omarosa Manigault Newman's ""Good Morning America"" interview: ""We put out a statement yesterday and I… https://t.co/YVfwANVu7o",Thu Dec 14 19:14:40 +0000 2017,0.153,0.0,0.847,0.4404,CBS News
168,"House Speaker Paul Ryan ""assured the president those were not accurate reports,"" @PressSec says of reports that Rya… https://t.co/MecTEJ3KQW",Thu Dec 14 19:11:29 +0000 2017,0.122,0.0,0.878,0.3612,CBS News
169,"President Trump ""likes Doug Jones and looks forward to meeting him in person,"" @PressSec says when asked if Roy Moo… https://t.co/r4hyn25MSF",Thu Dec 14 19:09:07 +0000 2017,0.123,0.0,0.877,0.4215,CBS News
170,"""We're really proud of the work we have done already up until this point with Sen. Rubio. We are already doubling t… https://t.co/tmRLTcKw0A",Thu Dec 14 19:06:44 +0000 2017,0.134,0.0,0.866,0.5256,CBS News
171,WATCH LIVE: White House holds daily press briefing as final vote on the GOP's tax bill nears https://t.co/TivFofWjWB https://t.co/CCpiDNUEIT,Thu Dec 14 19:01:42 +0000 2017,0.0,0.0,1.0,0.0,CBS News
172,U.N. ambassador Nikki Haley reveals new evidence to back claim that Iran armed Houthi rebels:… https://t.co/yUxJ6yXBCS,Thu Dec 14 18:45:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
173,The FCC voted to repeal Obama-era #NetNeutrality rules that regulate equal internet access in a 3-2 vote on Thursda… https://t.co/cgsEEgEd8y,Thu Dec 14 18:25:32 +0000 2017,0.0,0.0,1.0,0.0,CBS News
174,JUST IN: The FCC votes to repeal Obama-era #NetNeutrality rules that regulate equal access to the internet in 3-2 v… https://t.co/2cMgwWLP2D,Thu Dec 14 18:17:42 +0000 2017,0.0,0.0,1.0,0.0,CBS News
175,"Rolling back #NetNeutrality "" is not going to destroy the internet. It is not going to end the internet as we know… https://t.co/KTiTE2vIgu",Thu Dec 14 18:11:30 +0000 2017,0.119,0.0,0.881,0.431,CBS News
176,"""The only future to fear is the one we never discover because we gave up on the approach that already has brought u… https://t.co/raIfcPXELJ",Thu Dec 14 18:09:10 +0000 2017,0.0,0.122,0.878,-0.4939,CBS News
177,FCC Chairman Ajit Pai resumes speaking ahead of #NetNeutrality vote after meeting was cleared for security concerns… https://t.co/GICTmxSDfe,Thu Dec 14 18:06:15 +0000 2017,0.192,0.0,0.808,0.4215,CBS News
178,WATCH: Security officers and dogs search room where FCC meeting on net neutrality was taking place… https://t.co/hqO444G2P7,Thu Dec 14 17:57:57 +0000 2017,0.13,0.0,0.87,0.34,CBS News
179,NEW: FCC meeting on net neutrality takes abrupt recess due to security concerns https://t.co/Vxi2egdIqZ https://t.co/sEIW14RmGy,Thu Dec 14 17:52:38 +0000 2017,0.146,0.0,0.854,0.34,CBS News
180,"Net neutrality ""was a mistake. For one thing, there was no problem to solve. The internet wasn't broken in 2015,"" F… https://t.co/Np6tDxC9EP",Thu Dec 14 17:48:39 +0000 2017,0.157,0.264,0.579,-0.449,CBS News
181,"""The internet is the greatest free market innovation in history,"" FCC Chairman Ajit Pai says. ""It's changed the way… https://t.co/AcdrFyWfQJ",Thu Dec 14 17:44:43 +0000 2017,0.373,0.0,0.627,0.8779,CBS News
182,"GOP Rep. Blake Farenthold will not seek re-election next year, two Republicans tell the Associated Press; lawmaker… https://t.co/joJ9viWxSy",Thu Dec 14 17:39:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
183,"""Net neutrality is internet freedom,"" FCC Commissioner Jessica Rosenworcel says. ""The future of the internet is the… https://t.co/v6cByVXiZx",Thu Dec 14 17:35:48 +0000 2017,0.0,0.0,1.0,0.0,CBS News
184,"""The apocalyptic rhetoric is quite something, even by Washington standards. No, the FCC is not ending the internet,… https://t.co/pXF7eH3DeA",Thu Dec 14 17:28:23 +0000 2017,0.0,0.28,0.72,-0.765,CBS News
185,"""The internet has functioned without net neutrality rules far longer than with them,"" FCC Commissioner Michael O'Ri… https://t.co/nK8OUfiGTN",Thu Dec 14 17:17:30 +0000 2017,0.0,0.0,1.0,0.0,CBS News
186,"""In the end, I'm simply not persuaded that heavy-handed rules are needed to protect against hypothetical harms,"" FC… https://t.co/hYIY70rFBk",Thu Dec 14 17:15:31 +0000 2017,0.126,0.0,0.874,0.3818,CBS News
187,"""What saddens me the most today is that the agency that is supposed to protect you is actually abandoning you. But… https://t.co/Ew648TV4FU",Thu Dec 14 17:12:52 +0000 2017,0.096,0.203,0.701,-0.4404,CBS News
188,"""When when the current protections are abandoned and the rules that have been officially in place since 2015 are re… https://t.co/3WpiUNFHut",Thu Dec 14 17:05:54 +0000 2017,0.0,0.13,0.87,-0.4588,CBS News
189,COMING UP: The FCC is expected to repeal its net neutrality rules -- which could mean a sweeping act of deregulatio… https://t.co/LBSP6OJweu,Thu Dec 14 17:01:33 +0000 2017,0.0,0.0,1.0,0.0,CBS News
190,"""What is striking, and in keeping with the new norm, is that despite the millions of comments, letters and calls re… https://t.co/geaB7aGrX5",Thu Dec 14 17:01:31 +0000 2017,0.0,0.0,1.0,0.0,CBS News
191,"""Today, the FCC majority is about to officially abandon that pledge and millions are watching and taking note,"" FCC… https://t.co/i4kM8lMAvI",Thu Dec 14 16:58:26 +0000 2017,0.0,0.132,0.868,-0.4404,CBS News
192,"SOON: A vote to change an Obama-era rule could affect how you use your favorite websites. A debate on ""net neutrali… https://t.co/UTTCrAne2h",Thu Dec 14 16:53:22 +0000 2017,0.136,0.0,0.864,0.4588,CBS News
193,"""The results are going to be what sells this bill, not the confusion before it passes,"" House Speaker Paul Ryan say… https://t.co/Yf8YiaO9a7",Thu Dec 14 16:46:08 +0000 2017,0.082,0.0,0.918,0.2235,CBS News
194,"""I think [Rep. Blake Farenthold] is making the right decision to retire,"" House Speaker Paul Ryan says… https://t.co/wpbPrkdVoH",Thu Dec 14 16:39:20 +0000 2017,0.0,0.0,1.0,0.0,CBS News
195,"WATCH LIVE: House Speaker Paul Ryan holds a new conference, one day after GOP leaders reached a tax bill compromise… https://t.co/6eN97DLHSY",Thu Dec 14 16:36:19 +0000 2017,0.072,0.0,0.928,0.1027,CBS News
196,"Filmmaker Morgan Spurlock confesses to sexual misconduct, saying that he is ""part of the problem,"" though no women… https://t.co/crFbZyNpqU",Thu Dec 14 16:29:01 +0000 2017,0.0,0.109,0.891,-0.296,CBS News
197,"Former Vice President Joe Biden is expressing regret over how he handled Anita Hill's 1991 hearing: ""I owe her an a… https://t.co/J5zpkL8s8x",Thu Dec 14 16:10:01 +0000 2017,0.0,0.118,0.882,-0.4215,CBS News
198,"As the federal government prepares to unravel sweeping net-neutrality rules, advocates of the regulations are braci… https://t.co/QQ3bLijklb",Thu Dec 14 15:50:01 +0000 2017,0.0,0.0,1.0,0.0,CBS News
199,"An 8-year-old boy may have endured more than a dozen pointless surgeries, after police believe his mother faked mul… https://t.co/33I5uWBVtJ",Thu Dec 14 15:45:02 +0000 2017,0.0,0.0,1.0,0.0,CBS News
200,Here's what to know about the latest US sanctions against Russia https://t.co/uia3i6dHbR https://t.co/IdIQ6U2i5i,Fri Dec 15 02:11:06 +0000 2017,0.0,0.0,1.0,0.0,CNN
201,"RT @AC360: The GOP is ""losing the future"": Republican Gov. John Kasich on his party's loss in Alabama https://t.co/1Co8qGKsfb",Fri Dec 15 02:02:05 +0000 2017,0.0,0.224,0.776,-0.5994,CNN
202,"On the five-year anniversary of the Sandy Hook massacre, White House press secretary Sarah Sanders says the Trump a… https://t.co/11ap9kc2zd",Fri Dec 15 02:01:03 +0000 2017,0.0,0.0,1.0,0.0,CNN
203,The US government is cutting aid to some Somali military units amid allegations of misuse of funds and corruption b… https://t.co/ErTAoX3Wq1,Fri Dec 15 01:54:34 +0000 2017,0.0,0.07,0.93,-0.128,CNN
204,RT @AC360: Democrat Sen. Mark Warner: Every senior Trump intel official acknowledges the threat of Russian interference https://t.co/9sMUUf…,Fri Dec 15 01:51:58 +0000 2017,0.0,0.167,0.833,-0.5267,CNN
205,"Long waits for medical care, possible misuse of solitary confinement and inappropriate treatment of detainees were… https://t.co/TIQJ26b5dC",Fri Dec 15 01:51:20 +0000 2017,0.167,0.0,0.833,0.4939,CNN
206,US Sen. Lindsey Graham said in an interview that he believes there's a 30% chance President Trump will order a firs… https://t.co/GtTCK03uKE,Fri Dec 15 01:45:44 +0000 2017,0.095,0.0,0.905,0.25,CNN
207,RT @AC360: Keeping Them Honest: The meddling in the election isn't some conspiracy. All the intelligence agencies say it happened. A threat…,Fri Dec 15 01:40:24 +0000 2017,0.338,0.0,0.662,0.8472,CNN
208,"""Child care deserts"" are leaving rural parents with few options https://t.co/Nu5jyNwqdm https://t.co/XMBarhSowz",Fri Dec 15 01:33:02 +0000 2017,0.225,0.0,0.775,0.4939,CNN
209,"""2017 has been a turbulent and trying year for women,"" but there are reasons to be optimistic about 2018, writes Ma… https://t.co/85m3KyP112",Fri Dec 15 01:28:28 +0000 2017,0.129,0.0,0.871,0.4497,CNN
210,What key Republican senators are saying about voting for the GOP tax plan https://t.co/PieUkgST4L https://t.co/LVj9oy6GBz,Fri Dec 15 01:20:33 +0000 2017,0.0,0.0,1.0,0.0,CNN
211,"An Ohio driver accused of plowing into a crowd protesting a white nationalist rally this summer in Charlottesville,… https://t.co/sX2znpkgTl",Fri Dec 15 01:19:09 +0000 2017,0.0,0.25,0.75,-0.6124,CNN
212,"RT @AC360: ""Very troubling ... a very serious national security threat"" Democrat Sen. Mark Warner reacts to report President Trump does not…",Fri Dec 15 01:15:47 +0000 2017,0.094,0.309,0.598,-0.7288,CNN
213,Democrats are crying foul at the GOP for planning to vote on the tax reform bill without waiting for Doug Jones to… https://t.co/GIcJ9tYqaY,Fri Dec 15 01:06:09 +0000 2017,0.0,0.124,0.876,-0.4767,CNN
214,"US President Trump spoke on the phone with his Russian counterpart Vladimir Putin, who earlier in the day praised p… https://t.co/KBhIVhsFEu",Fri Dec 15 01:01:04 +0000 2017,0.138,0.0,0.862,0.4939,CNN
215,"""Sunday Night Football"" takes a big hit as NFL ratings still struggle https://t.co/EJQAMu4ibm https://t.co/hyiAfNxk95",Fri Dec 15 00:54:01 +0000 2017,0.0,0.161,0.839,-0.3182,CNN
216,"RT @OutFrontCNN: ""We can't make them...it's a free economy, and we're a democracy, but what we can do is give them the incentives to do the…",Fri Dec 15 00:50:06 +0000 2017,0.11,0.069,0.821,0.273,CNN
217,A bill that could keep women from having abortions in Down syndrome cases is heading to Ohio Gov. John Kasich's des… https://t.co/GOfr0WlH5X,Fri Dec 15 00:49:49 +0000 2017,0.0,0.0,1.0,0.0,CNN
218,"RT @OutFrontCNN: ""He's trying one last time, I respect that. But...I don't think anyone thinks that Rubio is going to hold up this bill."" -…",Fri Dec 15 00:43:59 +0000 2017,0.119,0.0,0.881,0.4767,CNN
219,"Omarosa Manigault Newman, a senior staffer who recently departed the White House and the only African-American draw… https://t.co/vn2vLbqFEx",Fri Dec 15 00:42:49 +0000 2017,0.0,0.0,1.0,0.0,CNN
220,Here's what to know about the latest US sanctions against Russia https://t.co/uia3i6dHbR https://t.co/IdIQ6U2i5i,Fri Dec 15 02:11:06 +0000 2017,0.0,0.0,1.0,0.0,CNN
221,"RT @AC360: The GOP is ""losing the future"": Republican Gov. John Kasich on his party's loss in Alabama https://t.co/1Co8qGKsfb",Fri Dec 15 02:02:05 +0000 2017,0.0,0.224,0.776,-0.5994,CNN
222,"On the five-year anniversary of the Sandy Hook massacre, White House press secretary Sarah Sanders says the Trump a… https://t.co/11ap9kc2zd",Fri Dec 15 02:01:03 +0000 2017,0.0,0.0,1.0,0.0,CNN
223,The US government is cutting aid to some Somali military units amid allegations of misuse of funds and corruption b… https://t.co/ErTAoX3Wq1,Fri Dec 15 01:54:34 +0000 2017,0.0,0.07,0.93,-0.128,CNN
224,RT @AC360: Democrat Sen. Mark Warner: Every senior Trump intel official acknowledges the threat of Russian interference https://t.co/9sMUUf…,Fri Dec 15 01:51:58 +0000 2017,0.0,0.167,0.833,-0.5267,CNN
225,"Long waits for medical care, possible misuse of solitary confinement and inappropriate treatment of detainees were… https://t.co/TIQJ26b5dC",Fri Dec 15 01:51:20 +0000 2017,0.167,0.0,0.833,0.4939,CNN
226,US Sen. Lindsey Graham said in an interview that he believes there's a 30% chance President Trump will order a firs… https://t.co/GtTCK03uKE,Fri Dec 15 01:45:44 +0000 2017,0.095,0.0,0.905,0.25,CNN
227,RT @AC360: Keeping Them Honest: The meddling in the election isn't some conspiracy. All the intelligence agencies say it happened. A threat…,Fri Dec 15 01:40:24 +0000 2017,0.338,0.0,0.662,0.8472,CNN
228,"""Child care deserts"" are leaving rural parents with few options https://t.co/Nu5jyNwqdm https://t.co/XMBarhSowz",Fri Dec 15 01:33:02 +0000 2017,0.225,0.0,0.775,0.4939,CNN
229,"""2017 has been a turbulent and trying year for women,"" but there are reasons to be optimistic about 2018, writes Ma… https://t.co/85m3KyP112",Fri Dec 15 01:28:28 +0000 2017,0.129,0.0,0.871,0.4497,CNN
230,What key Republican senators are saying about voting for the GOP tax plan https://t.co/PieUkgST4L https://t.co/LVj9oy6GBz,Fri Dec 15 01:20:33 +0000 2017,0.0,0.0,1.0,0.0,CNN
231,"An Ohio driver accused of plowing into a crowd protesting a white nationalist rally this summer in Charlottesville,… https://t.co/sX2znpkgTl",Fri Dec 15 01:19:09 +0000 2017,0.0,0.25,0.75,-0.6124,CNN
232,"RT @AC360: ""Very troubling ... a very serious national security threat"" Democrat Sen. Mark Warner reacts to report President Trump does not…",Fri Dec 15 01:15:47 +0000 2017,0.094,0.309,0.598,-0.7288,CNN
233,Democrats are crying foul at the GOP for planning to vote on the tax reform bill without waiting for Doug Jones to… https://t.co/GIcJ9tYqaY,Fri Dec 15 01:06:09 +0000 2017,0.0,0.124,0.876,-0.4767,CNN
234,"US President Trump spoke on the phone with his Russian counterpart Vladimir Putin, who earlier in the day praised p… https://t.co/KBhIVhsFEu",Fri Dec 15 01:01:04 +0000 2017,0.138,0.0,0.862,0.4939,CNN
235,"""Sunday Night Football"" takes a big hit as NFL ratings still struggle https://t.co/EJQAMu4ibm https://t.co/hyiAfNxk95",Fri Dec 15 00:54:01 +0000 2017,0.0,0.161,0.839,-0.3182,CNN
236,"RT @OutFrontCNN: ""We can't make them...it's a free economy, and we're a democracy, but what we can do is give them the incentives to do the…",Fri Dec 15 00:50:06 +0000 2017,0.11,0.069,0.821,0.273,CNN
